Id,SalePrice
1461,124347.095207
1462,156780.920772
1463,174990.85038
1464,197203.379965
1465,168021.546786
1466,178749.093876
1467,166299.182015
1468,168432.048768
1469,166299.182015
1470,126523.22349
1471,168321.089613
1472,91307.6041635
1473,93823.3184492
1474,136848.566548
1475,123473.245119
1476,378784.054762
1477,247307.84011
1478,322907.892778
1479,312605.789394
1480,545960.121429
1481,314661.915932
1482,205885.157103
1483,188558.699717
1484,186773.302843
1485,191733.974234
1486,183821.467265
1487,376474.799394
1488,209245.691905
1489,191857.571481
1490,217924.409788
1491,199762.674208
1492,103387.357707
1493,195377.023634
1494,296093.9
1495,268574.112454
1496,209152.544722
1497,192700.36943
1498,155897.730471
1499,153820.969164
1500,170162.178928
1501,171431.88541
1502,194295.924985
1503,264769.580833
1504,227993.001591
1505,198585.414458
1506,186894.427146
1507,201116.217729
1508,170967.419156
1509,150406.453641
1510,173692.462548
1511,148372.620229
1512,175661.356926
1513,138373.543783
1514,136913.53058
1515,184630.552449
1516,145457.854048
1517,159898.647171
1518,137017.477776
1519,223766.537996
1520,142848.893326
1521,140746.370108
1522,169306.799637
1523,113141.926067
1524,116567.393484
1525,124778.798815
1526,123762.124138
1527,124679.495102
1528,128081.25819
1529,151048.026725
1530,210564.184982
1531,174854.35112
1532,97382.5685965
1533,125314.788121
1534,128606.623483
1535,146470.149366
1536,115137.341666
1537,65446.2482456
1538,162523.496791
1539,174560.592379
1540,112926.401515
1541,131568.017815
1542,132155.076175
1543,174614.426877
1544,69204.7078896
1545,114580.284405
1546,125048.032709
1547,138052.493228
1548,121733.588798
1549,124368.190424
1550,126279.493378
1551,118888.931472
1552,144365.504704
1553,135263.03248
1554,135234.099381
1555,192710.116659
1556,114727.787145
1557,82708.0315789
1558,125397.870995
1559,99703.7363636
1560,131566.868818
1561,135856.812121
1562,132354.2696
1563,130206.091699
1564,164690.155544
1565,151048.026725
1566,252272.943723
1567,99088.6822198
1568,278635.907692
1569,132659.391794
1570,142488.659332
1571,113801.290558
1572,133219.411951
1573,244747.2775
1574,134512.255922
1575,237054.833333
1576,259073.874359
1577,184430.116685
1578,136827.523765
1579,136895.227776
1580,182477.858435
1581,159981.725629
1582,123513.069126
1583,298818.717599
1584,214275.277244
1585,147107.017054
1586,77678.4886707
1587,115269.051308
1588,153668.71943
1589,91801.3624431
1590,132767.643829
1591,114109.775151
1592,131279.826623
1593,124156.325345
1594,96349.2190476
1595,129653.423952
1596,249688.035714
1597,170516.17363
1598,179869.936379
1599,164530.337051
1600,164530.337051
1601,64682.0915133
1602,118404.915389
1603,71932.4547619
1604,296516.835317
1605,244146.239643
1606,156271.101056
1607,173113.829365
1608,220107.039931
1609,186902.093514
1610,169655.637726
1611,147831.040582
1612,175617.937211
1613,162120.100783
1614,127024.879457
1615,93880.0106061
1616,91272.9517825
1617,84880.1078431
1618,121583.391694
1619,137427.923353
1620,162801.448413
1621,120302.161786
1622,150340.813599
1623,298390.0
1624,236420.03869
1625,120220.512474
1626,177575.706655
1627,185304.046655
1628,284407.1613
1629,171227.604293
1630,300054.775932
1631,209187.693053
1632,234770.8745
1633,173136.098124
1634,182477.858435
1635,172657.24715
1636,160318.847154
1637,176457.559933
1638,188255.402343
1639,177126.169913
1640,212366.814286
1641,175968.305964
1642,232814.103782
1643,225297.242685
1644,215192.455383
1645,208084.66002
1646,176938.232435
1647,155042.2577
1648,134367.193545
1649,142888.957956
1650,121822.047142
1651,124918.849384
1652,86651.2874968
1653,88587.0578431
1654,142811.847348
1655,126055.614478
1656,141626.025589
1657,142955.63182
1658,162303.407738
1659,120535.129074
1660,160553.774155
1661,529859.02381
1662,330473.426818
1663,334251.464545
1664,518231.4
1665,311074.627318
1666,324561.365418
1667,393061.866234
1668,343035.492424
1669,284720.670147
1670,333505.966667
1671,280152.396813
1672,454395.904762
1673,280480.013838
1674,238689.056634
1675,201975.377103
1676,201556.04377
1677,205885.157103
1678,507315.4
1679,378232.304329
1680,338740.351414
1681,243974.505
1682,312887.360652
1683,193001.498624
1684,184834.85301
1685,183949.947641
1686,188236.978413
1687,177994.789962
1688,198406.223233
1689,196054.939188
1690,198650.652703
1691,190105.452541
1692,244158.710464
1693,175593.762319
1694,182726.840891
1695,160887.396535
1696,270561.571429
1697,168432.048768
1698,319126.410873
1699,313816.916667
1700,258126.979716
1701,274200.434676
1702,245202.390584
1703,242444.606634
